# command: ./chain --buffer-kib 16384 --carveout -1 --reps 21 --steps 16384
# gpu: NVIDIA GB10
# compute_capability: 12.1
# sm_count: 48
# l2_bytes: 25165824
# sm_clock_max_khz: 2418000
# driver_version: 13000
# runtime_version: 13000
# seed: 42
# reps: 21
# steps: 16384
# warmup: 1
# buffer_elems: 4194304
# stride_bytes: 0
# cycle_length: 4194304
benchmark,cluster_size,distance,mapped,block_size,steps,buffer_bytes,stride_bytes,seed,rep,cycles,ns,cycles_per_load,ns_per_load,ghz
chain,0,0,0,32,16384,16777216,0,42,0,5901709,2447040,360.2117,149.3555,2.4118
chain,0,0,0,32,16384,16777216,0,42,1,6006819,2490464,366.6271,152.0059,2.4119
chain,0,0,0,32,16384,16777216,0,42,2,5985957,2481952,365.3538,151.4863,2.4118
chain,0,0,0,32,16384,16777216,0,42,3,6013950,2493728,367.0624,152.2051,2.4116
chain,0,0,0,32,16384,16777216,0,42,4,6064586,2514592,370.1530,153.4785,2.4118
chain,0,0,0,32,16384,16777216,0,42,5,6110446,2533536,372.9520,154.6348,2.4118
chain,0,0,0,32,16384,16777216,0,42,6,6141619,2546432,374.8547,155.4219,2.4119
chain,0,0,0,32,16384,16777216,0,42,7,6086574,2523648,371.4950,154.0312,2.4118
chain,0,0,0,32,16384,16777216,0,42,8,6068431,2516000,370.3876,153.5645,2.4119
chain,0,0,0,32,16384,16777216,0,42,9,6083867,2522720,371.3298,153.9746,2.4116
chain,0,0,0,32,16384,16777216,0,42,10,5791349,2401600,353.4759,146.5820,2.4115
chain,0,0,0,32,16384,16777216,0,42,11,6115236,2535680,373.2444,154.7656,2.4117
chain,0,0,0,32,16384,16777216,0,42,12,5695343,2361664,347.6161,144.1445,2.4116
chain,0,0,0,32,16384,16777216,0,42,13,6110223,2533792,372.9384,154.6504,2.4115
chain,0,0,0,32,16384,16777216,0,42,14,6112295,2534688,373.0649,154.7051,2.4115
chain,0,0,0,32,16384,16777216,0,42,15,6106492,2532224,372.7107,154.5547,2.4115
chain,0,0,0,32,16384,16777216,0,42,16,6120570,2538144,373.5699,154.9160,2.4114
chain,0,0,0,32,16384,16777216,0,42,17,6114548,2535680,373.2024,154.7656,2.4114
chain,0,0,0,32,16384,16777216,0,42,18,6132679,2543200,374.3090,155.2246,2.4114
chain,0,0,0,32,16384,16777216,0,42,19,6120224,2538144,373.5488,154.9160,2.4113
chain,0,0,0,32,16384,16777216,0,42,20,6140841,2546560,374.8072,155.4297,2.4114
