# command: ./latency-many-threads --target remote --requesters 1 --chasers 256 --reps 11 --steps 16384
# gpu: NVIDIA GB10
# compute_capability: 12.1
# sm_count: 48
# l2_bytes: 25165824
# sm_clock_max_khz: 2418000
# driver_version: 13000
# runtime_version: 13000
# seed: 42
# reps: 11
# steps: 16384
# warmup: 1
# buffer_elems: 4096
# stride_bytes: 0
# cycle_length: 4096
# chasers: 256
# requesters: 1
# target: remote
# bank_aligned: 1
# warps_per_requester: 8
benchmark,cluster_size,distance,mapped,block_size,steps,buffer_bytes,stride_bytes,seed,rep,cycles,ns,cycles_per_load,ns_per_load,ghz,chasers,warp
dsmem_loaded,2,0,1,256,16384,0,0,42,0,56219514,23377600,3431.3668,1426.8555,2.4048,256,0
dsmem_loaded,2,0,1,256,16384,0,0,42,0,56219514,23377568,3431.3668,1426.8535,2.4048,256,1
dsmem_loaded,2,0,1,256,16384,0,0,42,0,56219514,23377568,3431.3668,1426.8535,2.4048,256,2
dsmem_loaded,2,0,1,256,16384,0,0,42,0,56219514,23377600,3431.3668,1426.8555,2.4048,256,3
dsmem_loaded,2,0,1,256,16384,0,0,42,0,56219514,23377600,3431.3668,1426.8555,2.4048,256,4
dsmem_loaded,2,0,1,256,16384,0,0,42,0,56219514,23377568,3431.3668,1426.8535,2.4048,256,5
dsmem_loaded,2,0,1,256,16384,0,0,42,0,56219514,23377568,3431.3668,1426.8535,2.4048,256,6
dsmem_loaded,2,0,1,256,16384,0,0,42,0,56219514,23377568,3431.3668,1426.8535,2.4048,256,7
dsmem_loaded,2,0,1,256,16384,0,0,42,1,56220282,23377856,3431.4137,1426.8711,2.4049,256,0
dsmem_loaded,2,0,1,256,16384,0,0,42,1,56220282,23377824,3431.4137,1426.8691,2.4049,256,1
dsmem_loaded,2,0,1,256,16384,0,0,42,1,56220282,23377824,3431.4137,1426.8691,2.4049,256,2
dsmem_loaded,2,0,1,256,16384,0,0,42,1,56220282,23377856,3431.4137,1426.8711,2.4049,256,3
dsmem_loaded,2,0,1,256,16384,0,0,42,1,56220282,23377856,3431.4137,1426.8711,2.4049,256,4
dsmem_loaded,2,0,1,256,16384,0,0,42,1,56220282,23377824,3431.4137,1426.8691,2.4049,256,5
dsmem_loaded,2,0,1,256,16384,0,0,42,1,56220282,23377856,3431.4137,1426.8711,2.4049,256,6
dsmem_loaded,2,0,1,256,16384,0,0,42,1,56220282,23377824,3431.4137,1426.8691,2.4049,256,7
dsmem_loaded,2,0,1,256,16384,0,0,42,2,56220154,23377824,3431.4059,1426.8691,2.4048,256,0
dsmem_loaded,2,0,1,256,16384,0,0,42,2,56220154,23377824,3431.4059,1426.8691,2.4048,256,1
dsmem_loaded,2,0,1,256,16384,0,0,42,2,56220154,23377824,3431.4059,1426.8691,2.4048,256,2
dsmem_loaded,2,0,1,256,16384,0,0,42,2,56220154,23377792,3431.4059,1426.8672,2.4049,256,3
dsmem_loaded,2,0,1,256,16384,0,0,42,2,56220154,23377792,3431.4059,1426.8672,2.4049,256,4
dsmem_loaded,2,0,1,256,16384,0,0,42,2,56220154,23377824,3431.4059,1426.8691,2.4048,256,5
dsmem_loaded,2,0,1,256,16384,0,0,42,2,56220154,23377824,3431.4059,1426.8691,2.4048,256,6
dsmem_loaded,2,0,1,256,16384,0,0,42,2,56220154,23377824,3431.4059,1426.8691,2.4048,256,7
dsmem_loaded,2,0,1,256,16384,0,0,42,3,56219770,23377536,3431.3824,1426.8516,2.4049,256,0
dsmem_loaded,2,0,1,256,16384,0,0,42,3,56219770,23377568,3431.3824,1426.8535,2.4049,256,1
dsmem_loaded,2,0,1,256,16384,0,0,42,3,56219770,23377568,3431.3824,1426.8535,2.4049,256,2
dsmem_loaded,2,0,1,256,16384,0,0,42,3,56219770,23377568,3431.3824,1426.8535,2.4049,256,3
dsmem_loaded,2,0,1,256,16384,0,0,42,3,56219770,23377568,3431.3824,1426.8535,2.4049,256,4
dsmem_loaded,2,0,1,256,16384,0,0,42,3,56219770,23377568,3431.3824,1426.8535,2.4049,256,5
dsmem_loaded,2,0,1,256,16384,0,0,42,3,56219770,23377568,3431.3824,1426.8535,2.4049,256,6
dsmem_loaded,2,0,1,256,16384,0,0,42,3,56219770,23377568,3431.3824,1426.8535,2.4049,256,7
dsmem_loaded,2,0,1,256,16384,0,0,42,4,56220154,23377728,3431.4059,1426.8633,2.4049,256,0
dsmem_loaded,2,0,1,256,16384,0,0,42,4,56220154,23377760,3431.4059,1426.8652,2.4049,256,1
dsmem_loaded,2,0,1,256,16384,0,0,42,4,56220154,23377760,3431.4059,1426.8652,2.4049,256,2
dsmem_loaded,2,0,1,256,16384,0,0,42,4,56220154,23377728,3431.4059,1426.8633,2.4049,256,3
dsmem_loaded,2,0,1,256,16384,0,0,42,4,56220154,23377728,3431.4059,1426.8633,2.4049,256,4
dsmem_loaded,2,0,1,256,16384,0,0,42,4,56220154,23377728,3431.4059,1426.8633,2.4049,256,5
dsmem_loaded,2,0,1,256,16384,0,0,42,4,56220154,23377728,3431.4059,1426.8633,2.4049,256,6
dsmem_loaded,2,0,1,256,16384,0,0,42,4,56220154,23377728,3431.4059,1426.8633,2.4049,256,7
dsmem_loaded,2,0,1,256,16384,0,0,42,5,56220282,23377888,3431.4137,1426.8730,2.4048,256,0
dsmem_loaded,2,0,1,256,16384,0,0,42,5,56220282,23377888,3431.4137,1426.8730,2.4048,256,1
dsmem_loaded,2,0,1,256,16384,0,0,42,5,56220282,23377920,3431.4137,1426.8750,2.4048,256,2
dsmem_loaded,2,0,1,256,16384,0,0,42,5,56220282,23377920,3431.4137,1426.8750,2.4048,256,3
dsmem_loaded,2,0,1,256,16384,0,0,42,5,56220282,23377920,3431.4137,1426.8750,2.4048,256,4
dsmem_loaded,2,0,1,256,16384,0,0,42,5,56220282,23377888,3431.4137,1426.8730,2.4048,256,5
dsmem_loaded,2,0,1,256,16384,0,0,42,5,56220282,23377888,3431.4137,1426.8730,2.4048,256,6
dsmem_loaded,2,0,1,256,16384,0,0,42,5,56220282,23377888,3431.4137,1426.8730,2.4048,256,7
dsmem_loaded,2,0,1,256,16384,0,0,42,6,56220282,23377824,3431.4137,1426.8691,2.4049,256,0
dsmem_loaded,2,0,1,256,16384,0,0,42,6,56220282,23377824,3431.4137,1426.8691,2.4049,256,1
dsmem_loaded,2,0,1,256,16384,0,0,42,6,56220282,23377824,3431.4137,1426.8691,2.4049,256,2
dsmem_loaded,2,0,1,256,16384,0,0,42,6,56220282,23377824,3431.4137,1426.8691,2.4049,256,3
dsmem_loaded,2,0,1,256,16384,0,0,42,6,56220282,23377824,3431.4137,1426.8691,2.4049,256,4
dsmem_loaded,2,0,1,256,16384,0,0,42,6,56220282,23377824,3431.4137,1426.8691,2.4049,256,5
dsmem_loaded,2,0,1,256,16384,0,0,42,6,56220282,23377824,3431.4137,1426.8691,2.4049,256,6
dsmem_loaded,2,0,1,256,16384,0,0,42,6,56220282,23377856,3431.4137,1426.8711,2.4049,256,7
dsmem_loaded,2,0,1,256,16384,0,0,42,7,56219258,23377280,3431.3512,1426.8359,2.4049,256,0
dsmem_loaded,2,0,1,256,16384,0,0,42,7,56219258,23377248,3431.3512,1426.8340,2.4049,256,1
dsmem_loaded,2,0,1,256,16384,0,0,42,7,56219258,23377248,3431.3512,1426.8340,2.4049,256,2
dsmem_loaded,2,0,1,256,16384,0,0,42,7,56219258,23377280,3431.3512,1426.8359,2.4049,256,3
dsmem_loaded,2,0,1,256,16384,0,0,42,7,56219258,23377280,3431.3512,1426.8359,2.4049,256,4
dsmem_loaded,2,0,1,256,16384,0,0,42,7,56219258,23377280,3431.3512,1426.8359,2.4049,256,5
dsmem_loaded,2,0,1,256,16384,0,0,42,7,56219258,23377280,3431.3512,1426.8359,2.4049,256,6
dsmem_loaded,2,0,1,256,16384,0,0,42,7,56219258,23377280,3431.3512,1426.8359,2.4049,256,7
dsmem_loaded,2,0,1,256,16384,0,0,42,8,56220282,23377760,3431.4137,1426.8652,2.4049,256,0
dsmem_loaded,2,0,1,256,16384,0,0,42,8,56220282,23377760,3431.4137,1426.8652,2.4049,256,1
dsmem_loaded,2,0,1,256,16384,0,0,42,8,56220282,23377760,3431.4137,1426.8652,2.4049,256,2
dsmem_loaded,2,0,1,256,16384,0,0,42,8,56220282,23377728,3431.4137,1426.8633,2.4049,256,3
dsmem_loaded,2,0,1,256,16384,0,0,42,8,56220282,23377728,3431.4137,1426.8633,2.4049,256,4
dsmem_loaded,2,0,1,256,16384,0,0,42,8,56220282,23377760,3431.4137,1426.8652,2.4049,256,5
dsmem_loaded,2,0,1,256,16384,0,0,42,8,56220282,23377760,3431.4137,1426.8652,2.4049,256,6
dsmem_loaded,2,0,1,256,16384,0,0,42,8,56220282,23377728,3431.4137,1426.8633,2.4049,256,7
dsmem_loaded,2,0,1,256,16384,0,0,42,9,56220282,23377760,3431.4137,1426.8652,2.4049,256,0
dsmem_loaded,2,0,1,256,16384,0,0,42,9,56220282,23377760,3431.4137,1426.8652,2.4049,256,1
dsmem_loaded,2,0,1,256,16384,0,0,42,9,56220282,23377728,3431.4137,1426.8633,2.4049,256,2
dsmem_loaded,2,0,1,256,16384,0,0,42,9,56220282,23377760,3431.4137,1426.8652,2.4049,256,3
dsmem_loaded,2,0,1,256,16384,0,0,42,9,56220282,23377728,3431.4137,1426.8633,2.4049,256,4
dsmem_loaded,2,0,1,256,16384,0,0,42,9,56220282,23377760,3431.4137,1426.8652,2.4049,256,5
dsmem_loaded,2,0,1,256,16384,0,0,42,9,56220282,23377760,3431.4137,1426.8652,2.4049,256,6
dsmem_loaded,2,0,1,256,16384,0,0,42,9,56220282,23377760,3431.4137,1426.8652,2.4049,256,7
dsmem_loaded,2,0,1,256,16384,0,0,42,10,56220282,23377728,3431.4137,1426.8633,2.4049,256,0
dsmem_loaded,2,0,1,256,16384,0,0,42,10,56220282,23377760,3431.4137,1426.8652,2.4049,256,1
dsmem_loaded,2,0,1,256,16384,0,0,42,10,56220282,23377728,3431.4137,1426.8633,2.4049,256,2
dsmem_loaded,2,0,1,256,16384,0,0,42,10,56220282,23377760,3431.4137,1426.8652,2.4049,256,3
dsmem_loaded,2,0,1,256,16384,0,0,42,10,56220282,23377728,3431.4137,1426.8633,2.4049,256,4
dsmem_loaded,2,0,1,256,16384,0,0,42,10,56220282,23377760,3431.4137,1426.8652,2.4049,256,5
