# command: ./chain --buffer-kib 384 --carveout 0 --reps 21 --steps 16384
# gpu: NVIDIA GB10
# compute_capability: 12.1
# sm_count: 48
# l2_bytes: 25165824
# sm_clock_max_khz: 2418000
# driver_version: 13000
# runtime_version: 13000
# seed: 42
# reps: 21
# steps: 16384
# warmup: 1
# buffer_elems: 98304
# stride_bytes: 0
# cycle_length: 98304
benchmark,cluster_size,distance,mapped,block_size,steps,buffer_bytes,stride_bytes,seed,rep,cycles,ns,cycles_per_load,ns_per_load,ghz
chain,0,0,0,32,16384,393216,0,42,0,5176463,2146656,315.9462,131.0215,2.4114
chain,0,0,0,32,16384,393216,0,42,1,5181638,2148768,316.2621,131.1504,2.4114
chain,0,0,0,32,16384,393216,0,42,2,5197585,2155424,317.2354,131.5566,2.4114
chain,0,0,0,32,16384,393216,0,42,3,5169005,2143456,315.4910,130.8262,2.4115
chain,0,0,0,32,16384,393216,0,42,4,5189877,2152096,316.7650,131.3535,2.4115
chain,0,0,0,32,16384,393216,0,42,5,5182060,2148960,316.2878,131.1621,2.4114
chain,0,0,0,32,16384,393216,0,42,6,5196646,2155040,317.1781,131.5332,2.4114
chain,0,0,0,32,16384,393216,0,42,7,5183998,2149728,316.4061,131.2090,2.4115
chain,0,0,0,32,16384,393216,0,42,8,5188387,2151584,316.6740,131.3223,2.4114
chain,0,0,0,32,16384,393216,0,42,9,5176278,2146528,315.9349,131.0137,2.4115
chain,0,0,0,32,16384,393216,0,42,10,5185804,2150528,316.5164,131.2578,2.4114
chain,0,0,0,32,16384,393216,0,42,11,5183355,2149504,316.3669,131.1953,2.4114
chain,0,0,0,32,16384,393216,0,42,12,5185668,2150464,316.5081,131.2539,2.4114
chain,0,0,0,32,16384,393216,0,42,13,5185387,2149952,316.4909,131.2227,2.4119
chain,0,0,0,32,16384,393216,0,42,14,5190711,2152352,316.8159,131.3691,2.4116
chain,0,0,0,32,16384,393216,0,42,15,5187839,2151040,316.6406,131.2891,2.4118
chain,0,0,0,32,16384,393216,0,42,16,5167315,2142880,315.3879,130.7910,2.4114
chain,0,0,0,32,16384,393216,0,42,17,5178905,2147296,316.0953,131.0605,2.4118
chain,0,0,0,32,16384,393216,0,42,18,5178557,2147200,316.0740,131.0547,2.4118
chain,0,0,0,32,16384,393216,0,42,19,5193703,2153536,316.9985,131.4414,2.4117
chain,0,0,0,32,16384,393216,0,42,20,5175136,2145984,315.8652,130.9805,2.4115
