# command: ./chain --buffer-kib 24576 --carveout -1 --reps 21 --steps 16384
# gpu: NVIDIA GB10
# compute_capability: 12.1
# sm_count: 48
# l2_bytes: 25165824
# sm_clock_max_khz: 2418000
# driver_version: 13000
# runtime_version: 13000
# seed: 42
# reps: 21
# steps: 16384
# warmup: 1
# buffer_elems: 6291456
# stride_bytes: 0
# cycle_length: 6291456
benchmark,cluster_size,distance,mapped,block_size,steps,buffer_bytes,stride_bytes,seed,rep,cycles,ns,cycles_per_load,ns_per_load,ghz
chain,0,0,0,32,16384,25165824,0,42,0,6844811,2837952,417.7741,173.2148,2.4119
chain,0,0,0,32,16384,25165824,0,42,1,7013686,2908256,428.0814,177.5059,2.4116
chain,0,0,0,32,16384,25165824,0,42,2,7099556,2943872,433.3225,179.6797,2.4116
chain,0,0,0,32,16384,25165824,0,42,3,7213475,2991360,440.2756,182.5781,2.4114
chain,0,0,0,32,16384,25165824,0,42,4,7291684,3023808,445.0491,184.5586,2.4114
chain,0,0,0,32,16384,25165824,0,42,5,7491439,3106624,457.2411,189.6133,2.4114
chain,0,0,0,32,16384,25165824,0,42,6,7558072,3134272,461.3081,191.3008,2.4114
chain,0,0,0,32,16384,25165824,0,42,7,7559976,3134848,461.4243,191.3359,2.4116
chain,0,0,0,32,16384,25165824,0,42,8,7685958,3187072,469.1136,194.5234,2.4116
chain,0,0,0,32,16384,25165824,0,42,9,7719012,3200928,471.1311,195.3691,2.4115
chain,0,0,0,32,16384,25165824,0,42,10,7760589,3218240,473.6688,196.4258,2.4114
chain,0,0,0,32,16384,25165824,0,42,11,7855374,3257568,479.4540,198.8262,2.4114
chain,0,0,0,32,16384,25165824,0,42,12,7816311,3241376,477.0698,197.8379,2.4114
chain,0,0,0,32,16384,25165824,0,42,13,7860399,3259616,479.7607,198.9512,2.4114
chain,0,0,0,32,16384,25165824,0,42,14,7928273,3287840,483.9034,200.6738,2.4114
chain,0,0,0,32,16384,25165824,0,42,15,7905699,3278432,482.5256,200.0996,2.4114
chain,0,0,0,32,16384,25165824,0,42,16,7927759,3287584,483.8720,200.6582,2.4114
chain,0,0,0,32,16384,25165824,0,42,17,7935789,3290560,484.3621,200.8398,2.4117
chain,0,0,0,32,16384,25165824,0,42,18,7867102,3262272,480.1698,199.1133,2.4115
chain,0,0,0,32,16384,25165824,0,42,19,5721755,2372832,349.2282,144.8262,2.4114
chain,0,0,0,32,16384,25165824,0,42,20,7957232,3299456,485.6709,201.3828,2.4117
