# command: ./dram --stride 128 --reps 101 --steps 16384
# gpu: NVIDIA GB10
# compute_capability: 12.1
# sm_count: 48
# l2_bytes: 25165824
# sm_clock_max_khz: 2418000
# driver_version: 13000
# runtime_version: 13000
# seed: 42
# reps: 101
# steps: 16384
# warmup: 1
# buffer_elems: 268435456
# stride_bytes: 128
# cycle_length: 8388608
benchmark,cluster_size,distance,mapped,block_size,steps,buffer_bytes,stride_bytes,seed,rep,cycles,ns,cycles_per_load,ns_per_load,ghz
dram,0,0,0,32,16384,1073741824,128,42,0,15465589,6430976,943.9446,392.5156,2.4049
dram,0,0,0,32,16384,1073741824,128,42,1,15472660,6433888,944.3762,392.6934,2.4049
dram,0,0,0,32,16384,1073741824,128,42,2,15464736,6430560,943.8926,392.4902,2.4049
dram,0,0,0,32,16384,1073741824,128,42,3,15508549,6448832,946.5667,393.6055,2.4049
dram,0,0,0,32,16384,1073741824,128,42,4,15510046,6449408,946.6581,393.6406,2.4049
dram,0,0,0,32,16384,1073741824,128,42,5,15476673,6435552,944.6212,392.7949,2.4049
dram,0,0,0,32,16384,1073741824,128,42,6,15482854,6438176,944.9984,392.9551,2.4049
dram,0,0,0,32,16384,1073741824,128,42,7,15462722,6429792,943.7697,392.4434,2.4049
dram,0,0,0,32,16384,1073741824,128,42,8,15467045,6431584,944.0335,392.5527,2.4049
dram,0,0,0,32,16384,1073741824,128,42,9,15468834,6432320,944.1427,392.5977,2.4049
dram,0,0,0,32,16384,1073741824,128,42,10,15459512,6428448,943.5737,392.3613,2.4049
dram,0,0,0,32,16384,1073741824,128,42,11,15472022,6433632,944.3373,392.6777,2.4049
dram,0,0,0,32,16384,1073741824,128,42,12,15470040,6432768,944.2163,392.6250,2.4049
dram,0,0,0,32,16384,1073741824,128,42,13,15469867,6432704,944.2057,392.6211,2.4049
dram,0,0,0,32,16384,1073741824,128,42,14,15458443,6427968,943.5085,392.3320,2.4049
dram,0,0,0,32,16384,1073741824,128,42,15,15462651,6429728,943.7653,392.4395,2.4049
dram,0,0,0,32,16384,1073741824,128,42,16,15472249,6433728,944.3511,392.6836,2.4049
dram,0,0,0,32,16384,1073741824,128,42,17,15467046,6431552,944.0336,392.5508,2.4049
dram,0,0,0,32,16384,1073741824,128,42,18,15449894,6424384,942.9867,392.1133,2.4049
dram,0,0,0,32,16384,1073741824,128,42,19,15467881,6431904,944.0845,392.5723,2.4049
dram,0,0,0,32,16384,1073741824,128,42,20,15462228,6429536,943.7395,392.4277,2.4049
dram,0,0,0,32,16384,1073741824,128,42,21,15463797,6430144,943.8353,392.4648,2.4049
dram,0,0,0,32,16384,1073741824,128,42,22,15465052,6430720,943.9119,392.5000,2.4049
dram,0,0,0,32,16384,1073741824,128,42,23,15468609,6432160,944.1290,392.5879,2.4049
dram,0,0,0,32,16384,1073741824,128,42,24,15476195,6435360,944.5920,392.7832,2.4049
dram,0,0,0,32,16384,1073741824,128,42,25,15461294,6429120,943.6825,392.4023,2.4049
dram,0,0,0,32,16384,1073741824,128,42,26,15459193,6428256,943.5543,392.3496,2.4049
dram,0,0,0,32,16384,1073741824,128,42,27,15463135,6429920,943.7949,392.4512,2.4049
dram,0,0,0,32,16384,1073741824,128,42,28,15459047,6428224,943.5453,392.3477,2.4049
dram,0,0,0,32,16384,1073741824,128,42,29,15456918,6427328,943.4154,392.2930,2.4049
dram,0,0,0,32,16384,1073741824,128,42,30,15467563,6431744,944.0651,392.5625,2.4049
dram,0,0,0,32,16384,1073741824,128,42,31,15462829,6429792,943.7762,392.4434,2.4049
dram,0,0,0,32,16384,1073741824,128,42,32,15467921,6431936,944.0870,392.5742,2.4049
dram,0,0,0,32,16384,1073741824,128,42,33,16393371,6816768,1000.5720,416.0625,2.4049
dram,0,0,0,32,16384,1073741824,128,42,34,15468917,6432320,944.1478,392.5977,2.4049
dram,0,0,0,32,16384,1073741824,128,42,35,15470389,6432960,944.2376,392.6367,2.4049
dram,0,0,0,32,16384,1073741824,128,42,36,15465025,6430720,943.9102,392.5000,2.4049
dram,0,0,0,32,16384,1073741824,128,42,37,15467128,6431584,944.0386,392.5527,2.4049
dram,0,0,0,32,16384,1073741824,128,42,38,15473889,6434368,944.4512,392.7227,2.4049
dram,0,0,0,32,16384,1073741824,128,42,39,15458126,6427808,943.4891,392.3223,2.4049
dram,0,0,0,32,16384,1073741824,128,42,40,15449308,6424192,942.9509,392.1016,2.4049
dram,0,0,0,32,16384,1073741824,128,42,41,15476367,6435392,944.6025,392.7852,2.4049
dram,0,0,0,32,16384,1073741824,128,42,42,15464442,6430432,943.8746,392.4824,2.4049
dram,0,0,0,32,16384,1073741824,128,42,43,15464682,6430528,943.8893,392.4883,2.4049
dram,0,0,0,32,16384,1073741824,128,42,44,15472930,6433952,944.3927,392.6973,2.4049
