# command: ./chain --buffer-kib 20480 --carveout 0 --reps 21 --steps 16384
# gpu: NVIDIA GB10
# compute_capability: 12.1
# sm_count: 48
# l2_bytes: 25165824
# sm_clock_max_khz: 2418000
# driver_version: 13000
# runtime_version: 13000
# seed: 42
# reps: 21
# steps: 16384
# warmup: 1
# buffer_elems: 5242880
# stride_bytes: 0
# cycle_length: 5242880
benchmark,cluster_size,distance,mapped,block_size,steps,buffer_bytes,stride_bytes,seed,rep,cycles,ns,cycles_per_load,ns_per_load,ghz
chain,0,0,0,32,16384,20971520,0,42,0,6767239,2806080,413.0395,171.2695,2.4116
chain,0,0,0,32,16384,20971520,0,42,1,6898469,2860416,421.0491,174.5859,2.4117
chain,0,0,0,32,16384,20971520,0,42,2,7099189,2943648,433.3001,179.6660,2.4117
chain,0,0,0,32,16384,20971520,0,42,3,7245888,3004864,442.2539,183.4023,2.4114
chain,0,0,0,32,16384,20971520,0,42,4,7310320,3031296,446.1865,185.0156,2.4116
chain,0,0,0,32,16384,20971520,0,42,5,7363187,3053344,449.4133,186.3613,2.4115
chain,0,0,0,32,16384,20971520,0,42,6,7450826,3089792,454.7623,188.5859,2.4114
chain,0,0,0,32,16384,20971520,0,42,7,7478782,3101312,456.4686,189.2891,2.4115
chain,0,0,0,32,16384,20971520,0,42,8,7602131,3152352,463.9973,192.4043,2.4116
chain,0,0,0,32,16384,20971520,0,42,9,7717030,3199936,471.0101,195.3086,2.4116
chain,0,0,0,32,16384,20971520,0,42,10,7682790,3185696,468.9203,194.4395,2.4117
chain,0,0,0,32,16384,20971520,0,42,11,7752694,3215008,473.1869,196.2285,2.4114
chain,0,0,0,32,16384,20971520,0,42,12,7747479,3212352,472.8686,196.0664,2.4118
chain,0,0,0,32,16384,20971520,0,42,13,5689091,2359008,347.2346,143.9824,2.4116
chain,0,0,0,32,16384,20971520,0,42,14,7785694,3228128,475.2010,197.0293,2.4118
chain,0,0,0,32,16384,20971520,0,42,15,7795368,3232256,475.7915,197.2812,2.4117
chain,0,0,0,32,16384,20971520,0,42,16,7871457,3263744,480.4356,199.2031,2.4118
chain,0,0,0,32,16384,20971520,0,42,17,7850739,3255264,479.1711,198.6855,2.4117
chain,0,0,0,32,16384,20971520,0,42,18,7930043,3288128,484.0114,200.6914,2.4117
chain,0,0,0,32,16384,20971520,0,42,19,7876844,3266368,480.7644,199.3633,2.4115
chain,0,0,0,32,16384,20971520,0,42,20,7916601,3282752,483.1910,200.3633,2.4116
