# command: ./chain --buffer-kib 112 --carveout -1 --reps 21 --steps 16384
# gpu: NVIDIA GB10
# compute_capability: 12.1
# sm_count: 48
# l2_bytes: 25165824
# sm_clock_max_khz: 2418000
# driver_version: 13000
# runtime_version: 13000
# seed: 42
# reps: 21
# steps: 16384
# warmup: 1
# buffer_elems: 28672
# stride_bytes: 0
# cycle_length: 28672
benchmark,cluster_size,distance,mapped,block_size,steps,buffer_bytes,stride_bytes,seed,rep,cycles,ns,cycles_per_load,ns_per_load,ghz
chain,0,0,0,32,16384,114688,0,42,0,3196262,1325344,195.0844,80.8926,2.4116
chain,0,0,0,32,16384,114688,0,42,1,3184331,1320512,194.3561,80.5977,2.4114
chain,0,0,0,32,16384,114688,0,42,2,3218900,1334720,196.4661,81.4648,2.4117
chain,0,0,0,32,16384,114688,0,42,3,3179168,1318336,194.0410,80.4648,2.4115
chain,0,0,0,32,16384,114688,0,42,4,3198824,1326496,195.2407,80.9629,2.4115
chain,0,0,0,32,16384,114688,0,42,5,3222109,1336160,196.6619,81.5527,2.4115
chain,0,0,0,32,16384,114688,0,42,6,3217600,1334304,196.3867,81.4395,2.4114
chain,0,0,0,32,16384,114688,0,42,7,3222552,1336160,196.6890,81.5527,2.4118
chain,0,0,0,32,16384,114688,0,42,8,3228300,1338624,197.0398,81.7031,2.4117
chain,0,0,0,32,16384,114688,0,42,9,3177213,1317312,193.9217,80.4023,2.4119
chain,0,0,0,32,16384,114688,0,42,10,3208920,1330592,195.8569,81.2129,2.4116
chain,0,0,0,32,16384,114688,0,42,11,3206058,1329408,195.6823,81.1406,2.4116
chain,0,0,0,32,16384,114688,0,42,12,3185775,1321024,194.4443,80.6289,2.4116
chain,0,0,0,32,16384,114688,0,42,13,3200588,1327296,195.3484,81.0117,2.4114
chain,0,0,0,32,16384,114688,0,42,14,3219189,1334944,196.4837,81.4785,2.4115
chain,0,0,0,32,16384,114688,0,42,15,3212991,1332224,196.1054,81.3125,2.4117
chain,0,0,0,32,16384,114688,0,42,16,3203317,1328256,195.5150,81.0703,2.4117
chain,0,0,0,32,16384,114688,0,42,17,3181597,1319264,194.1893,80.5215,2.4116
chain,0,0,0,32,16384,114688,0,42,18,3187676,1321792,194.5603,80.6758,2.4116
chain,0,0,0,32,16384,114688,0,42,19,3173047,1315712,193.6674,80.3047,2.4117
chain,0,0,0,32,16384,114688,0,42,20,3222000,1336064,196.6553,81.5469,2.4116
