# command: ./latency-many-threads --target remote --requesters 4 --chasers 8 --reps 11 --steps 16384
# gpu: NVIDIA GB10
# compute_capability: 12.1
# sm_count: 48
# l2_bytes: 25165824
# sm_clock_max_khz: 2418000
# driver_version: 13000
# runtime_version: 13000
# seed: 42
# reps: 11
# steps: 16384
# warmup: 1
# buffer_elems: 4096
# stride_bytes: 0
# cycle_length: 4096
# chasers: 8
# requesters: 4
# target: remote
# bank_aligned: 1
# warps_per_requester: 1
benchmark,cluster_size,distance,mapped,block_size,steps,buffer_bytes,stride_bytes,seed,rep,cycles,ns,cycles_per_load,ns_per_load,ghz,chasers,warp
dsmem_loaded,5,0,1,32,16384,0,0,42,0,7616280,3167008,464.8608,193.2988,2.4049,8,0
dsmem_loaded,5,0,1,32,16384,0,0,42,0,7609600,3164256,464.4531,193.1309,2.4049,8,1
dsmem_loaded,5,0,1,32,16384,0,0,42,0,7609487,3164192,464.4462,193.1270,2.4049,8,2
dsmem_loaded,5,0,1,32,16384,0,0,42,0,7482830,3111552,456.7157,189.9141,2.4049,8,3
dsmem_loaded,5,0,1,32,16384,0,0,42,1,7617318,3167424,464.9242,193.3242,2.4049,8,0
dsmem_loaded,5,0,1,32,16384,0,0,42,1,7609720,3164320,464.4604,193.1348,2.4049,8,1
dsmem_loaded,5,0,1,32,16384,0,0,42,1,7609718,3164320,464.4603,193.1348,2.4049,8,2
dsmem_loaded,5,0,1,32,16384,0,0,42,1,7479309,3110080,456.5008,189.8242,2.4049,8,3
dsmem_loaded,5,0,1,32,16384,0,0,42,2,7617318,3167488,464.9242,193.3281,2.4048,8,0
dsmem_loaded,5,0,1,32,16384,0,0,42,2,7609720,3164320,464.4604,193.1348,2.4049,8,1
dsmem_loaded,5,0,1,32,16384,0,0,42,2,7609718,3164288,464.4603,193.1328,2.4049,8,2
dsmem_loaded,5,0,1,32,16384,0,0,42,2,7479309,3110048,456.5008,189.8223,2.4049,8,3
dsmem_loaded,5,0,1,32,16384,0,0,42,3,7617318,3167488,464.9242,193.3281,2.4048,8,0
dsmem_loaded,5,0,1,32,16384,0,0,42,3,7609720,3164256,464.4604,193.1309,2.4049,8,1
dsmem_loaded,5,0,1,32,16384,0,0,42,3,7609718,3164256,464.4603,193.1309,2.4049,8,2
dsmem_loaded,5,0,1,32,16384,0,0,42,3,7479309,3110080,456.5008,189.8242,2.4049,8,3
dsmem_loaded,5,0,1,32,16384,0,0,42,4,7617318,3167424,464.9242,193.3242,2.4049,8,0
dsmem_loaded,5,0,1,32,16384,0,0,42,4,7609720,3164288,464.4604,193.1328,2.4049,8,1
dsmem_loaded,5,0,1,32,16384,0,0,42,4,7609718,3164288,464.4603,193.1328,2.4049,8,2
dsmem_loaded,5,0,1,32,16384,0,0,42,4,7479309,3110080,456.5008,189.8242,2.4049,8,3
dsmem_loaded,5,0,1,32,16384,0,0,42,5,7617318,3167488,464.9242,193.3281,2.4048,8,0
dsmem_loaded,5,0,1,32,16384,0,0,42,5,7609720,3164352,464.4604,193.1367,2.4048,8,1
dsmem_loaded,5,0,1,32,16384,0,0,42,5,7609718,3164352,464.4603,193.1367,2.4048,8,2
dsmem_loaded,5,0,1,32,16384,0,0,42,5,7479309,3110112,456.5008,189.8262,2.4048,8,3
dsmem_loaded,5,0,1,32,16384,0,0,42,6,7617318,3167424,464.9242,193.3242,2.4049,8,0
dsmem_loaded,5,0,1,32,16384,0,0,42,6,7609720,3164288,464.4604,193.1328,2.4049,8,1
dsmem_loaded,5,0,1,32,16384,0,0,42,6,7609718,3164288,464.4603,193.1328,2.4049,8,2
dsmem_loaded,5,0,1,32,16384,0,0,42,6,7479309,3110080,456.5008,189.8242,2.4049,8,3
dsmem_loaded,5,0,1,32,16384,0,0,42,7,7617318,3167456,464.9242,193.3262,2.4049,8,0
dsmem_loaded,5,0,1,32,16384,0,0,42,7,7609720,3164288,464.4604,193.1328,2.4049,8,1
dsmem_loaded,5,0,1,32,16384,0,0,42,7,7609718,3164256,464.4603,193.1309,2.4049,8,2
dsmem_loaded,5,0,1,32,16384,0,0,42,7,7479309,3110048,456.5008,189.8223,2.4049,8,3
dsmem_loaded,5,0,1,32,16384,0,0,42,8,7617318,3167456,464.9242,193.3262,2.4049,8,0
dsmem_loaded,5,0,1,32,16384,0,0,42,8,7609720,3164320,464.4604,193.1348,2.4049,8,1
dsmem_loaded,5,0,1,32,16384,0,0,42,8,7609718,3164320,464.4603,193.1348,2.4049,8,2
dsmem_loaded,5,0,1,32,16384,0,0,42,8,7479309,3110080,456.5008,189.8242,2.4049,8,3
dsmem_loaded,5,0,1,32,16384,0,0,42,9,7617318,3167488,464.9242,193.3281,2.4048,8,0
dsmem_loaded,5,0,1,32,16384,0,0,42,9,7609720,3164320,464.4604,193.1348,2.4049,8,1
dsmem_loaded,5,0,1,32,16384,0,0,42,9,7609718,3164320,464.4603,193.1348,2.4049,8,2
dsmem_loaded,5,0,1,32,16384,0,0,42,9,7479309,3110080,456.5008,189.8242,2.4049,8,3
dsmem_loaded,5,0,1,32,16384,0,0,42,10,7617318,3167488,464.9242,193.3281,2.4048,8,0
dsmem_loaded,5,0,1,32,16384,0,0,42,10,7609720,3164320,464.4604,193.1348,2.4049,8,1
dsmem_loaded,5,0,1,32,16384,0,0,42,10,7609718,3164320,464.4603,193.1348,2.4049,8,2
dsmem_loaded,5,0,1,32,16384,0,0,42,10,7479309,3110112,456.5008,189.8262,2.4048,8,3
