# command: ./chain --buffer-kib 16384 --carveout 0 --reps 21 --steps 16384
# gpu: NVIDIA GB10
# compute_capability: 12.1
# sm_count: 48
# l2_bytes: 25165824
# sm_clock_max_khz: 2418000
# driver_version: 13000
# runtime_version: 13000
# seed: 42
# reps: 21
# steps: 16384
# warmup: 1
# buffer_elems: 4194304
# stride_bytes: 0
# cycle_length: 4194304
benchmark,cluster_size,distance,mapped,block_size,steps,buffer_bytes,stride_bytes,seed,rep,cycles,ns,cycles_per_load,ns_per_load,ghz
chain,0,0,0,32,16384,16777216,0,42,0,5931486,2459744,362.0292,150.1309,2.4114
chain,0,0,0,32,16384,16777216,0,42,1,6076258,2519808,370.8654,153.7969,2.4114
chain,0,0,0,32,16384,16777216,0,42,2,6058782,2512384,369.7987,153.3438,2.4116
chain,0,0,0,32,16384,16777216,0,42,3,6083609,2522528,371.3140,153.9629,2.4117
chain,0,0,0,32,16384,16777216,0,42,4,6106159,2531968,372.6904,154.5391,2.4116
chain,0,0,0,32,16384,16777216,0,42,5,6141023,2546528,374.8183,155.4277,2.4115
chain,0,0,0,32,16384,16777216,0,42,6,6153115,2551616,375.5563,155.7383,2.4115
chain,0,0,0,32,16384,16777216,0,42,7,6058349,2512288,369.7723,153.3379,2.4115
chain,0,0,0,32,16384,16777216,0,42,8,6076245,2519584,370.8646,153.7832,2.4116
chain,0,0,0,32,16384,16777216,0,42,9,6103829,2531200,372.5482,154.4922,2.4114
chain,0,0,0,32,16384,16777216,0,42,10,5810991,2409696,354.6747,147.0762,2.4115
chain,0,0,0,32,16384,16777216,0,42,11,6102850,2530848,372.4884,154.4707,2.4114
chain,0,0,0,32,16384,16777216,0,42,12,5687951,2358784,347.1650,143.9688,2.4114
chain,0,0,0,32,16384,16777216,0,42,13,6126344,2540576,373.9224,155.0645,2.4114
chain,0,0,0,32,16384,16777216,0,42,14,6122837,2539136,373.7083,154.9766,2.4114
chain,0,0,0,32,16384,16777216,0,42,15,6140402,2546272,374.7804,155.4121,2.4115
chain,0,0,0,32,16384,16777216,0,42,16,6112514,2534656,373.0782,154.7031,2.4116
chain,0,0,0,32,16384,16777216,0,42,17,6147625,2549344,375.2213,155.5996,2.4115
chain,0,0,0,32,16384,16777216,0,42,18,6164759,2556448,376.2670,156.0332,2.4115
chain,0,0,0,32,16384,16777216,0,42,19,6155724,2552704,375.7156,155.8047,2.4115
chain,0,0,0,32,16384,16777216,0,42,20,6150144,2550144,375.3750,155.6484,2.4117
