# command: ./chain --buffer-kib 49152 --carveout -1 --reps 21 --steps 16384
# gpu: NVIDIA GB10
# compute_capability: 12.1
# sm_count: 48
# l2_bytes: 25165824
# sm_clock_max_khz: 2418000
# driver_version: 13000
# runtime_version: 13000
# seed: 42
# reps: 21
# steps: 16384
# warmup: 1
# buffer_elems: 12582912
# stride_bytes: 0
# cycle_length: 12582912
benchmark,cluster_size,distance,mapped,block_size,steps,buffer_bytes,stride_bytes,seed,rep,cycles,ns,cycles_per_load,ns_per_load,ghz
chain,0,0,0,32,16384,50331648,0,42,0,15716228,6517440,959.2424,397.7930,2.4114
chain,0,0,0,32,16384,50331648,0,42,1,15556997,6451424,949.5237,393.7637,2.4114
chain,0,0,0,32,16384,50331648,0,42,2,15456869,6409600,943.4124,391.2109,2.4115
chain,0,0,0,32,16384,50331648,0,42,3,15216739,6309408,928.7560,385.0957,2.4118
chain,0,0,0,32,16384,50331648,0,42,4,15087979,6256640,920.8972,381.8750,2.4115
chain,0,0,0,32,16384,50331648,0,42,5,14831187,6150336,905.2238,375.3867,2.4114
chain,0,0,0,32,16384,50331648,0,42,6,14722219,6105216,898.5729,372.6328,2.4114
chain,0,0,0,32,16384,50331648,0,42,7,14587980,6049024,890.3796,369.2031,2.4116
chain,0,0,0,32,16384,50331648,0,42,8,14529153,6025088,886.7891,367.7422,2.4114
chain,0,0,0,32,16384,50331648,0,42,9,14451890,5992608,882.0734,365.7598,2.4116
chain,0,0,0,32,16384,50331648,0,42,10,14434179,5985056,880.9924,365.2988,2.4117
chain,0,0,0,32,16384,50331648,0,42,11,14164546,5873600,864.5353,358.4961,2.4116
chain,0,0,0,32,16384,50331648,0,42,12,14296277,5928416,872.5755,361.8418,2.4115
chain,0,0,0,32,16384,50331648,0,42,13,14286134,5924352,871.9564,361.5938,2.4114
chain,0,0,0,32,16384,50331648,0,42,14,14267868,5916512,870.8416,361.1152,2.4115
chain,0,0,0,32,16384,50331648,0,42,15,14218700,5896384,867.8406,359.8867,2.4114
chain,0,0,0,32,16384,50331648,0,42,16,14194172,5886240,866.3435,359.2676,2.4114
chain,0,0,0,32,16384,50331648,0,42,17,14209083,5892448,867.2536,359.6465,2.4114
chain,0,0,0,32,16384,50331648,0,42,18,14135554,5861600,862.7657,357.7637,2.4116
chain,0,0,0,32,16384,50331648,0,42,19,14145324,5865472,863.3621,358.0000,2.4116
chain,0,0,0,32,16384,50331648,0,42,20,14071977,5834880,858.8853,356.1328,2.4117
