# command: ./latency-many-threads --target remote --requesters 11 --chasers 1 --reps 11 --steps 16384
# gpu: NVIDIA GB10
# compute_capability: 12.1
# sm_count: 48
# l2_bytes: 25165824
# sm_clock_max_khz: 2418000
# driver_version: 13000
# runtime_version: 13000
# seed: 42
# reps: 11
# steps: 16384
# warmup: 1
# buffer_elems: 4096
# stride_bytes: 0
# cycle_length: 4096
# chasers: 1
# requesters: 11
# target: remote
# bank_aligned: 1
# warps_per_requester: 1
benchmark,cluster_size,distance,mapped,block_size,steps,buffer_bytes,stride_bytes,seed,rep,cycles,ns,cycles_per_load,ns_per_load,ghz,chasers,warp
dsmem_loaded,12,0,1,32,16384,0,0,42,0,3468567,1442368,211.7045,88.0352,2.4048,1,0
dsmem_loaded,12,0,1,32,16384,0,0,42,0,3289457,1367872,200.7725,83.4883,2.4048,1,1
dsmem_loaded,12,0,1,32,16384,0,0,42,0,3289491,1367872,200.7746,83.4883,2.4048,1,2
dsmem_loaded,12,0,1,32,16384,0,0,42,0,3159848,1313952,192.8618,80.1973,2.4048,1,3
dsmem_loaded,12,0,1,32,16384,0,0,42,0,3160013,1314016,192.8719,80.2012,2.4049,1,4
dsmem_loaded,12,0,1,32,16384,0,0,42,0,3359295,1396896,205.0351,85.2598,2.4048,1,5
dsmem_loaded,12,0,1,32,16384,0,0,42,0,3359307,1396896,205.0358,85.2598,2.4048,1,6
dsmem_loaded,12,0,1,32,16384,0,0,42,0,3198652,1330048,195.2302,81.1797,2.4049,1,7
dsmem_loaded,12,0,1,32,16384,0,0,42,0,3198665,1330048,195.2310,81.1797,2.4049,1,8
dsmem_loaded,12,0,1,32,16384,0,0,42,0,3083389,1282176,188.1951,78.2578,2.4048,1,9
dsmem_loaded,12,0,1,32,16384,0,0,42,0,3083349,1282144,188.1927,78.2559,2.4048,1,10
dsmem_loaded,12,0,1,32,16384,0,0,42,1,3468132,1442144,211.6780,88.0215,2.4048,1,0
dsmem_loaded,12,0,1,32,16384,0,0,42,1,3289716,1367904,200.7883,83.4902,2.4049,1,1
dsmem_loaded,12,0,1,32,16384,0,0,42,1,3289837,1367968,200.7957,83.4941,2.4049,1,2
dsmem_loaded,12,0,1,32,16384,0,0,42,1,3160651,1314272,192.9108,80.2168,2.4049,1,3
dsmem_loaded,12,0,1,32,16384,0,0,42,1,3160938,1314400,192.9283,80.2246,2.4049,1,4
dsmem_loaded,12,0,1,32,16384,0,0,42,1,3360050,1397216,205.0812,85.2793,2.4048,1,5
dsmem_loaded,12,0,1,32,16384,0,0,42,1,3360074,1397216,205.0826,85.2793,2.4048,1,6
dsmem_loaded,12,0,1,32,16384,0,0,42,1,3199722,1330496,195.2955,81.2070,2.4049,1,7
dsmem_loaded,12,0,1,32,16384,0,0,42,1,3199668,1330496,195.2922,81.2070,2.4049,1,8
dsmem_loaded,12,0,1,32,16384,0,0,42,1,3082001,1281568,188.1104,78.2207,2.4049,1,9
dsmem_loaded,12,0,1,32,16384,0,0,42,1,3081928,1281568,188.1060,78.2207,2.4048,1,10
dsmem_loaded,12,0,1,32,16384,0,0,42,2,3468132,1442176,211.6780,88.0234,2.4048,1,0
dsmem_loaded,12,0,1,32,16384,0,0,42,2,3289716,1367968,200.7883,83.4941,2.4048,1,1
dsmem_loaded,12,0,1,32,16384,0,0,42,2,3289837,1368000,200.7957,83.4961,2.4049,1,2
dsmem_loaded,12,0,1,32,16384,0,0,42,2,3160651,1314272,192.9108,80.2168,2.4049,1,3
dsmem_loaded,12,0,1,32,16384,0,0,42,2,3160938,1314400,192.9283,80.2246,2.4049,1,4
dsmem_loaded,12,0,1,32,16384,0,0,42,2,3360050,1397184,205.0812,85.2773,2.4049,1,5
dsmem_loaded,12,0,1,32,16384,0,0,42,2,3360074,1397184,205.0826,85.2773,2.4049,1,6
dsmem_loaded,12,0,1,32,16384,0,0,42,2,3199722,1330496,195.2955,81.2070,2.4049,1,7
dsmem_loaded,12,0,1,32,16384,0,0,42,2,3199668,1330496,195.2922,81.2070,2.4049,1,8
dsmem_loaded,12,0,1,32,16384,0,0,42,2,3082001,1281568,188.1104,78.2207,2.4049,1,9
dsmem_loaded,12,0,1,32,16384,0,0,42,2,3081928,1281504,188.1060,78.2168,2.4049,1,10
dsmem_loaded,12,0,1,32,16384,0,0,42,3,3468132,1442176,211.6780,88.0234,2.4048,1,0
dsmem_loaded,12,0,1,32,16384,0,0,42,3,3289716,1367936,200.7883,83.4922,2.4049,1,1
dsmem_loaded,12,0,1,32,16384,0,0,42,3,3289837,1368000,200.7957,83.4961,2.4049,1,2
dsmem_loaded,12,0,1,32,16384,0,0,42,3,3160651,1314272,192.9108,80.2168,2.4049,1,3
dsmem_loaded,12,0,1,32,16384,0,0,42,3,3160938,1314400,192.9283,80.2246,2.4049,1,4
dsmem_loaded,12,0,1,32,16384,0,0,42,3,3360050,1397184,205.0812,85.2773,2.4049,1,5
dsmem_loaded,12,0,1,32,16384,0,0,42,3,3360074,1397184,205.0826,85.2773,2.4049,1,6
dsmem_loaded,12,0,1,32,16384,0,0,42,3,3199722,1330528,195.2955,81.2090,2.4049,1,7
dsmem_loaded,12,0,1,32,16384,0,0,42,3,3199668,1330496,195.2922,81.2070,2.4049,1,8
dsmem_loaded,12,0,1,32,16384,0,0,42,3,3082001,1281536,188.1104,78.2188,2.4049,1,9
dsmem_loaded,12,0,1,32,16384,0,0,42,3,3081928,1281504,188.1060,78.2168,2.4049,1,10
dsmem_loaded,12,0,1,32,16384,0,0,42,4,3468132,1442176,211.6780,88.0234,2.4048,1,0
dsmem_loaded,12,0,1,32,16384,0,0,42,4,3289716,1367936,200.7883,83.4922,2.4049,1,1
dsmem_loaded,12,0,1,32,16384,0,0,42,4,3289837,1368000,200.7957,83.4961,2.4049,1,2
dsmem_loaded,12,0,1,32,16384,0,0,42,4,3160651,1314272,192.9108,80.2168,2.4049,1,3
dsmem_loaded,12,0,1,32,16384,0,0,42,4,3160938,1314400,192.9283,80.2246,2.4049,1,4
dsmem_loaded,12,0,1,32,16384,0,0,42,4,3360050,1397216,205.0812,85.2793,2.4048,1,5
dsmem_loaded,12,0,1,32,16384,0,0,42,4,3360074,1397216,205.0826,85.2793,2.4048,1,6
dsmem_loaded,12,0,1,32,16384,0,0,42,4,3199722,1330560,195.2955,81.2109,2.4048,1,7
dsmem_loaded,12,0,1,32,16384,0,0,42,4,3199668,1330528,195.2922,81.2090,2.4048,1,8
dsmem_loaded,12,0,1,32,16384,0,0,42,4,3082001,1281600,188.1104,78.2227,2.4048,1,9
dsmem_loaded,12,0,1,32,16384,0,0,42,4,3081928,1281568,188.1060,78.2207,2.4048,1,10
dsmem_loaded,12,0,1,32,16384,0,0,42,5,3468132,1442176,211.6780,88.0234,2.4048,1,0
dsmem_loaded,12,0,1,32,16384,0,0,42,5,3289716,1367968,200.7883,83.4941,2.4048,1,1
dsmem_loaded,12,0,1,32,16384,0,0,42,5,3289837,1368032,200.7957,83.4980,2.4048,1,2
dsmem_loaded,12,0,1,32,16384,0,0,42,5,3160651,1314272,192.9108,80.2168,2.4049,1,3
dsmem_loaded,12,0,1,32,16384,0,0,42,5,3160938,1314400,192.9283,80.2246,2.4049,1,4
dsmem_loaded,12,0,1,32,16384,0,0,42,5,3360050,1397184,205.0812,85.2773,2.4049,1,5
dsmem_loaded,12,0,1,32,16384,0,0,42,5,3360074,1397216,205.0826,85.2793,2.4048,1,6
dsmem_loaded,12,0,1,32,16384,0,0,42,5,3199722,1330528,195.2955,81.2090,2.4049,1,7
dsmem_loaded,12,0,1,32,16384,0,0,42,5,3199668,1330496,195.2922,81.2070,2.4049,1,8
dsmem_loaded,12,0,1,32,16384,0,0,42,5,3082001,1281568,188.1104,78.2207,2.4049,1,9
dsmem_loaded,12,0,1,32,16384,0,0,42,5,3081928,1281536,188.1060,78.2188,2.4049,1,10
dsmem_loaded,12,0,1,32,16384,0,0,42,6,3468132,1442144,211.6780,88.0215,2.4048,1,0
dsmem_loaded,12,0,1,32,16384,0,0,42,6,3289716,1367968,200.7883,83.4941,2.4048,1,1
dsmem_loaded,12,0,1,32,16384,0,0,42,6,3289837,1368032,200.7957,83.4980,2.4048,1,2
dsmem_loaded,12,0,1,32,16384,0,0,42,6,3160651,1314240,192.9108,80.2148,2.4049,1,3
dsmem_loaded,12,0,1,32,16384,0,0,42,6,3160938,1314400,192.9283,80.2246,2.4049,1,4
dsmem_loaded,12,0,1,32,16384,0,0,42,6,3360050,1397184,205.0812,85.2773,2.4049,1,5
dsmem_loaded,12,0,1,32,16384,0,0,42,6,3360074,1397216,205.0826,85.2793,2.4048,1,6
dsmem_loaded,12,0,1,32,16384,0,0,42,6,3199722,1330496,195.2955,81.2070,2.4049,1,7
dsmem_loaded,12,0,1,32,16384,0,0,42,6,3199668,1330464,195.2922,81.2051,2.4049,1,8
dsmem_loaded,12,0,1,32,16384,0,0,42,6,3082001,1281568,188.1104,78.2207,2.4049,1,9
dsmem_loaded,12,0,1,32,16384,0,0,42,6,3081928,1281536,188.1060,78.2188,2.4049,1,10
dsmem_loaded,12,0,1,32,16384,0,0,42,7,3468132,1442144,211.6780,88.0215,2.4048,1,0
