# command: ./chain --buffer-kib 128 --carveout -1 --reps 21 --steps 16384
# gpu: NVIDIA GB10
# compute_capability: 12.1
# sm_count: 48
# l2_bytes: 25165824
# sm_clock_max_khz: 2418000
# driver_version: 13000
# runtime_version: 13000
# seed: 42
# reps: 21
# steps: 16384
# warmup: 1
# buffer_elems: 32768
# stride_bytes: 0
# cycle_length: 32768
benchmark,cluster_size,distance,mapped,block_size,steps,buffer_bytes,stride_bytes,seed,rep,cycles,ns,cycles_per_load,ns_per_load,ghz
chain,0,0,0,32,16384,131072,0,42,0,3785285,1569728,231.0355,95.8086,2.4114
chain,0,0,0,32,16384,131072,0,42,1,3768867,1562880,230.0334,95.3906,2.4115
chain,0,0,0,32,16384,131072,0,42,2,3782383,1568544,230.8583,95.7363,2.4114
chain,0,0,0,32,16384,131072,0,42,3,3765700,1561600,229.8401,95.3125,2.4114
chain,0,0,0,32,16384,131072,0,42,4,3773768,1564992,230.3325,95.5195,2.4114
chain,0,0,0,32,16384,131072,0,42,5,3795970,1574048,231.6876,96.0723,2.4116
chain,0,0,0,32,16384,131072,0,42,6,3782515,1568448,230.8664,95.7305,2.4116
chain,0,0,0,32,16384,131072,0,42,7,3774374,1565056,230.3695,95.5234,2.4117
chain,0,0,0,32,16384,131072,0,42,8,3788670,1570976,231.2421,95.8848,2.4117
chain,0,0,0,32,16384,131072,0,42,9,3797391,1574688,231.7744,96.1113,2.4115
chain,0,0,0,32,16384,131072,0,42,10,3775545,1565504,230.4410,95.5508,2.4117
chain,0,0,0,32,16384,131072,0,42,11,3766689,1561952,229.9005,95.3340,2.4115
chain,0,0,0,32,16384,131072,0,42,12,3786516,1570240,231.1106,95.8398,2.4114
chain,0,0,0,32,16384,131072,0,42,13,3775731,1565760,230.4523,95.5664,2.4114
chain,0,0,0,32,16384,131072,0,42,14,3756585,1557856,229.2838,95.0840,2.4114
chain,0,0,0,32,16384,131072,0,42,15,3791187,1572192,231.3957,95.9590,2.4114
chain,0,0,0,32,16384,131072,0,42,16,3785229,1569600,231.0320,95.8008,2.4116
chain,0,0,0,32,16384,131072,0,42,17,3768943,1562688,230.0380,95.3789,2.4118
chain,0,0,0,32,16384,131072,0,42,18,3761681,1559904,229.5948,95.2090,2.4115
chain,0,0,0,32,16384,131072,0,42,19,3796038,1574176,231.6918,96.0801,2.4114
chain,0,0,0,32,16384,131072,0,42,20,3779106,1567168,230.6583,95.6523,2.4114
