# command: ./chain --buffer-kib 12288 --carveout -1 --reps 21 --steps 16384
# gpu: NVIDIA GB10
# compute_capability: 12.1
# sm_count: 48
# l2_bytes: 25165824
# sm_clock_max_khz: 2418000
# driver_version: 13000
# runtime_version: 13000
# seed: 42
# reps: 21
# steps: 16384
# warmup: 1
# buffer_elems: 3145728
# stride_bytes: 0
# cycle_length: 3145728
benchmark,cluster_size,distance,mapped,block_size,steps,buffer_bytes,stride_bytes,seed,rep,cycles,ns,cycles_per_load,ns_per_load,ghz
chain,0,0,0,32,16384,12582912,0,42,0,5645198,2340640,344.5555,142.8613,2.4118
chain,0,0,0,32,16384,12582912,0,42,1,5642461,2339648,344.3885,142.8008,2.4117
chain,0,0,0,32,16384,12582912,0,42,2,5643385,2339872,344.4449,142.8145,2.4118
chain,0,0,0,32,16384,12582912,0,42,3,5642109,2339200,344.3670,142.7734,2.4120
chain,0,0,0,32,16384,12582912,0,42,4,5644217,2340224,344.4957,142.8359,2.4118
chain,0,0,0,32,16384,12582912,0,42,5,5641454,2339328,344.3270,142.7812,2.4116
chain,0,0,0,32,16384,12582912,0,42,6,5645712,2340832,344.5869,142.8730,2.4118
chain,0,0,0,32,16384,12582912,0,42,7,5648572,2342048,344.7615,142.9473,2.4118
chain,0,0,0,32,16384,12582912,0,42,8,5643858,2340288,344.4738,142.8398,2.4116
chain,0,0,0,32,16384,12582912,0,42,9,5643544,2339904,344.4546,142.8164,2.4119
chain,0,0,0,32,16384,12582912,0,42,10,5644254,2340416,344.4979,142.8477,2.4116
chain,0,0,0,32,16384,12582912,0,42,11,5641027,2338784,344.3010,142.7480,2.4119
chain,0,0,0,32,16384,12582912,0,42,12,5642198,2339424,344.3724,142.7871,2.4118
chain,0,0,0,32,16384,12582912,0,42,13,5644713,2340640,344.5259,142.8613,2.4116
chain,0,0,0,32,16384,12582912,0,42,14,5642511,2339680,344.3915,142.8027,2.4117
chain,0,0,0,32,16384,12582912,0,42,15,5646022,2341216,344.6058,142.8965,2.4116
chain,0,0,0,32,16384,12582912,0,42,16,5644090,2340384,344.4879,142.8457,2.4116
chain,0,0,0,32,16384,12582912,0,42,17,5644497,2340384,344.5128,142.8457,2.4118
chain,0,0,0,32,16384,12582912,0,42,18,5642059,2339328,344.3640,142.7812,2.4118
chain,0,0,0,32,16384,12582912,0,42,19,5646222,2341120,344.6180,142.8906,2.4118
chain,0,0,0,32,16384,12582912,0,42,20,5642954,2339712,344.4186,142.8047,2.4118
