# command: ./chain --buffer-kib 3072 --carveout -1 --reps 21 --steps 16384
# gpu: NVIDIA GB10
# compute_capability: 12.1
# sm_count: 48
# l2_bytes: 25165824
# sm_clock_max_khz: 2418000
# driver_version: 13000
# runtime_version: 13000
# seed: 42
# reps: 21
# steps: 16384
# warmup: 1
# buffer_elems: 786432
# stride_bytes: 0
# cycle_length: 786432
benchmark,cluster_size,distance,mapped,block_size,steps,buffer_bytes,stride_bytes,seed,rep,cycles,ns,cycles_per_load,ns_per_load,ghz
chain,0,0,0,32,16384,3145728,0,42,0,5556572,2303680,339.1462,140.6055,2.4120
chain,0,0,0,32,16384,3145728,0,42,1,5558561,2304544,339.2676,140.6582,2.4120
chain,0,0,0,32,16384,3145728,0,42,2,5564425,2307072,339.6255,140.8125,2.4119
chain,0,0,0,32,16384,3145728,0,42,3,5563893,2307008,339.5931,140.8086,2.4117
chain,0,0,0,32,16384,3145728,0,42,4,5560773,2305824,339.4026,140.7363,2.4116
chain,0,0,0,32,16384,3145728,0,42,5,5545888,2299840,338.4941,140.3711,2.4114
chain,0,0,0,32,16384,3145728,0,42,6,5560815,2305888,339.4052,140.7402,2.4116
chain,0,0,0,32,16384,3145728,0,42,7,5561416,2305920,339.4419,140.7422,2.4118
chain,0,0,0,32,16384,3145728,0,42,8,5556435,2303936,339.1379,140.6211,2.4117
chain,0,0,0,32,16384,3145728,0,42,9,5561545,2306016,339.4498,140.7480,2.4118
chain,0,0,0,32,16384,3145728,0,42,10,5556824,2304160,339.1616,140.6348,2.4116
chain,0,0,0,32,16384,3145728,0,42,11,5560601,2305824,339.3922,140.7363,2.4115
chain,0,0,0,32,16384,3145728,0,42,12,5556701,2303904,339.1541,140.6191,2.4119
chain,0,0,0,32,16384,3145728,0,42,13,5557638,2304544,339.2113,140.6582,2.4116
chain,0,0,0,32,16384,3145728,0,42,14,5552161,2302304,338.8770,140.5215,2.4116
chain,0,0,0,32,16384,3145728,0,42,15,5557437,2304608,339.1990,140.6621,2.4114
chain,0,0,0,32,16384,3145728,0,42,16,5559534,2305312,339.3270,140.7051,2.4116
chain,0,0,0,32,16384,3145728,0,42,17,5560379,2305312,339.3786,140.7051,2.4120
chain,0,0,0,32,16384,3145728,0,42,18,5557075,2304032,339.1769,140.6270,2.4119
chain,0,0,0,32,16384,3145728,0,42,19,5555703,2303808,339.0932,140.6133,2.4115
chain,0,0,0,32,16384,3145728,0,42,20,5557783,2304448,339.2202,140.6523,2.4118
