# command: ./chain --buffer-kib 4096 --carveout 0 --reps 21 --steps 16384
# gpu: NVIDIA GB10
# compute_capability: 12.1
# sm_count: 48
# l2_bytes: 25165824
# sm_clock_max_khz: 2418000
# driver_version: 13000
# runtime_version: 13000
# seed: 42
# reps: 21
# steps: 16384
# warmup: 1
# buffer_elems: 1048576
# stride_bytes: 0
# cycle_length: 1048576
benchmark,cluster_size,distance,mapped,block_size,steps,buffer_bytes,stride_bytes,seed,rep,cycles,ns,cycles_per_load,ns_per_load,ghz
chain,0,0,0,32,16384,4194304,0,42,0,5568796,2309344,339.8923,140.9512,2.4114
chain,0,0,0,32,16384,4194304,0,42,1,5569178,2309536,339.9156,140.9629,2.4114
chain,0,0,0,32,16384,4194304,0,42,2,5569408,2309600,339.9297,140.9668,2.4114
chain,0,0,0,32,16384,4194304,0,42,3,5572143,2310688,340.0966,141.0332,2.4115
chain,0,0,0,32,16384,4194304,0,42,4,5567801,2308896,339.8316,140.9238,2.4115
chain,0,0,0,32,16384,4194304,0,42,5,5570236,2309888,339.9802,140.9844,2.4115
chain,0,0,0,32,16384,4194304,0,42,6,5572488,2310880,340.1177,141.0449,2.4114
chain,0,0,0,32,16384,4194304,0,42,7,5570867,2310208,340.0187,141.0039,2.4114
chain,0,0,0,32,16384,4194304,0,42,8,5570602,2310080,340.0026,140.9961,2.4114
chain,0,0,0,32,16384,4194304,0,42,9,5571743,2310592,340.0722,141.0273,2.4114
chain,0,0,0,32,16384,4194304,0,42,10,5571060,2310176,340.0305,141.0020,2.4115
chain,0,0,0,32,16384,4194304,0,42,11,5564564,2307616,339.6340,140.8457,2.4114
chain,0,0,0,32,16384,4194304,0,42,12,5566012,2308224,339.7224,140.8828,2.4114
chain,0,0,0,32,16384,4194304,0,42,13,5565055,2307648,339.6640,140.8477,2.4116
chain,0,0,0,32,16384,4194304,0,42,14,5571883,2310528,340.0807,141.0234,2.4115
chain,0,0,0,32,16384,4194304,0,42,15,5567634,2308832,339.8214,140.9199,2.4115
chain,0,0,0,32,16384,4194304,0,42,16,5569045,2309440,339.9075,140.9570,2.4114
chain,0,0,0,32,16384,4194304,0,42,17,5573615,2311360,340.1865,141.0742,2.4114
chain,0,0,0,32,16384,4194304,0,42,18,5568325,2309152,339.8636,140.9395,2.4114
chain,0,0,0,32,16384,4194304,0,42,19,5571105,2310304,340.0333,141.0098,2.4114
chain,0,0,0,32,16384,4194304,0,42,20,5572948,2310944,340.1458,141.0488,2.4115
