# command: ./chain --buffer-kib 28672 --carveout 0 --reps 21 --steps 16384
# gpu: NVIDIA GB10
# compute_capability: 12.1
# sm_count: 48
# l2_bytes: 25165824
# sm_clock_max_khz: 2418000
# driver_version: 13000
# runtime_version: 13000
# seed: 42
# reps: 21
# steps: 16384
# warmup: 1
# buffer_elems: 7340032
# stride_bytes: 0
# cycle_length: 7340032
benchmark,cluster_size,distance,mapped,block_size,steps,buffer_bytes,stride_bytes,seed,rep,cycles,ns,cycles_per_load,ns_per_load,ghz
chain,0,0,0,32,16384,29360128,0,42,0,15608959,6472288,952.6953,395.0371,2.4117
chain,0,0,0,32,16384,29360128,0,42,1,15322995,6354336,935.2414,387.8379,2.4114
chain,0,0,0,32,16384,29360128,0,42,2,15002701,6221408,915.6922,379.7246,2.4115
chain,0,0,0,32,16384,29360128,0,42,3,14786216,6131008,902.4790,374.2070,2.4117
chain,0,0,0,32,16384,29360128,0,42,4,14477121,6002688,883.6133,366.3750,2.4118
chain,0,0,0,32,16384,29360128,0,42,5,14109032,5850208,861.1470,357.0684,2.4117
chain,0,0,0,32,16384,29360128,0,42,6,13976451,5795680,853.0549,353.7402,2.4115
chain,0,0,0,32,16384,29360128,0,42,7,13689126,5676128,835.5179,346.4434,2.4117
chain,0,0,0,32,16384,29360128,0,42,8,13557443,5621632,827.4807,343.1172,2.4117
chain,0,0,0,32,16384,29360128,0,42,9,13323124,5524096,813.1790,337.1641,2.4118
chain,0,0,0,32,16384,29360128,0,42,10,13131156,5444960,801.4622,332.3340,2.4116
chain,0,0,0,32,16384,29360128,0,42,11,13037685,5406048,795.7571,329.9590,2.4117
chain,0,0,0,32,16384,29360128,0,42,12,12959684,5373728,790.9963,327.9863,2.4117
chain,0,0,0,32,16384,29360128,0,42,13,12901968,5350048,787.4736,326.5410,2.4116
chain,0,0,0,32,16384,29360128,0,42,14,12757794,5290080,778.6740,322.8809,2.4116
chain,0,0,0,32,16384,29360128,0,42,15,12581405,5216800,767.9080,318.4082,2.4117
chain,0,0,0,32,16384,29360128,0,42,16,10391384,4308736,634.2397,262.9844,2.4117
chain,0,0,0,32,16384,29360128,0,42,17,12525453,5193824,764.4930,317.0059,2.4116
chain,0,0,0,32,16384,29360128,0,42,18,12236777,5073952,746.8736,309.6895,2.4117
chain,0,0,0,32,16384,29360128,0,42,19,13693229,5678176,835.7684,346.5684,2.4116
chain,0,0,0,32,16384,29360128,0,42,20,12308154,5103680,751.2301,311.5039,2.4116
